game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
88,strategygames,471,4,1,Some necessary text - easily memorized or small crib sheet,7.09217,6.78189,9638,2.86,13879,2024-01-25 10:08:13
89,boardgame,5219,2,3,Extensive use of text - massive conversion needed to be playable,6.73627,5.72509,468,2.803,1159,2024-01-25 10:08:13
89,wargames,730,2,3,Extensive use of text - massive conversion needed to be playable,6.73627,5.72509,468,2.803,1159,2024-01-25 10:08:13
90,boardgame,6316,2,1,Moderate in-game text - needs crib sheet or paste ups,6.20032,5.66292,609,1.4262,1105,2024-01-25 10:08:13
90,familygames,1709,2,1,Moderate in-game text - needs crib sheet or paste ups,6.20032,5.66292,609,1.4262,1105,2024-01-25 10:08:13
91,boardgame,224,2,2+,Extensive use of text - massive conversion needed to be playable,8.05569,7.28746,5143,3.8533,9963,2024-01-25 10:08:13
91,wargames,3,2,2+,Extensive use of text - massive conversion needed to be playable,8.05569,7.28746,5143,3.8533,9963,2024-01-25 10:08:13
93,boardgame,92,5,2,Moderate in-game text - needs crib sheet or paste ups,7.73918,7.56033,27664,3.0282,27119,2024-01-25 10:08:13
93,strategygames,77,5,2,Moderate in-game text - needs crib sheet or paste ups,7.73918,7.56033,27664,3.0282,27119,2024-01-25 10:08:13
94,boardgame,948,4,2,No necessary in-game text,7.18909,6.64346,4328,2.5458,4566,2024-01-25 10:08:13
94,strategygames,542,4,2,No necessary in-game text,7.18909,6.64346,4328,2.5458,4566,2024-01-25 10:08:13
95,boardgame,4206,4,6+,No necessary in-game text,6.40994,5.81034,1056,1.381,1187,2024-01-25 10:08:13
95,familygames,1259,4,6+,No necessary in-game text,6.40994,5.81034,1056,1.381,1187,2024-01-25 10:08:13
96,boardgame,6974,2,1,No necessary in-game text,6.21075,5.63663,596,1.8333,1112,2024-01-25 10:08:13
96,thematic,1079,2,1,No necessary in-game text,6.21075,5.63663,596,1.8333,1112,2024-01-25 10:08:13
97,boardgame,5146,6,1,Some necessary text - easily memorized or small crib sheet,6.29128,5.73002,1056,2.5301,1889,2024-01-25 10:08:13
97,wargames,1396,6,1,Some necessary text - easily memorized or small crib sheet,6.29128,5.73002,1056,2.5301,1889,2024-01-25 10:08:13
98,boardgame,1737,2,1,Some necessary text - easily memorized or small crib sheet,6.57073,6.27772,11020,3.0364,15915,2024-01-25 10:08:13
98,wargames,740,2,1,Some necessary text - easily memorized or small crib sheet,6.57073,6.27772,11020,3.0364,15915,2024-01-25 10:08:13
99,boardgame,2300,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4074,2024-01-25 10:08:13
99,wargames,460,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4074,2024-01-25 10:08:13
99,thematic,503,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4074,2024-01-25 10:08:13
101,boardgame,3087,6,1,No necessary in-game text,6.77946,5.95646,1125,1.708,1396,2024-01-25 10:08:13
101,familygames,932,6,1,No necessary in-game text,6.77946,5.95646,1125,1.708,1396,2024-01-25 10:08:13
102,boardgame,5278,4,1,No necessary in-game text,6.19969,5.72063,924,1.7674,1481,2024-01-25 10:08:13
102,strategygames,1894,4,1,No necessary in-game text,6.19969,5.72063,924,1.7674,1481,2024-01-25 10:08:13
102,familygames,1497,4,1,No necessary in-game text,6.19969,5.72063,924,1.7674,1481,2024-01-25 10:08:13
103,boardgame,1420,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5814,2024-01-25 10:08:13
103,wargames,346,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5814,2024-01-25 10:08:13
103,thematic,358,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5814,2024-01-25 10:08:13
104,boardgame,6011,4,1,No necessary in-game text,6.98652,5.67765,270,2.9,369,2024-01-25 10:08:13
104,strategygames,1978,4,1,No necessary in-game text,6.98652,5.67765,270,2.9,369,2024-01-25 10:08:13
105,boardgame,1249,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8840,2024-01-25 10:08:13
105,strategygames,759,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8840,2024-01-25 10:08:13
105,familygames,379,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8840,2024-01-25 10:08:13
106,boardgame,1424,2,1,Moderate in-game text - needs crib sheet or paste ups,6.94995,6.39721,3513,1.7483,6112,2024-01-25 10:08:13
106,strategygames,798,2,1,Moderate in-game text - needs crib sheet or paste ups,6.94995,6.39721,3513,1.7483,6112,2024-01-25 10:08:13
106,familygames,404,2,1,Moderate in-game text - needs crib sheet or paste ups,6.94995,6.39721,3513,1.7483,6112,2024-01-25 10:08:13
107,boardgame,Not Ranked,2,1,No necessary in-game text,5.72353,0,17,1,47,2024-01-25 10:08:13
107,abstracts,Not Ranked,2,1,No necessary in-game text,5.72353,0,17,1,47,2024-01-25 10:08:13
108,boardgame,2798,2,1,No necessary in-game text,6.76398,6.0095,1405,2.2866,2140,2024-01-25 10:08:13
108,abstracts,102,2,1,No necessary in-game text,6.76398,6.0095,1405,2.2866,2140,2024-01-25 10:08:13
109,boardgame,8801,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-25 10:08:13
