game_id,name,type,year_published,min_players,max_players,min_play_time,max_play_time,min_age,thumbnail
3112,And They're Off!,boardgame,1993,2,22,90,90,10,https://cf.geekdo-images.com/Ua7IF7k4Mz4OqkH-FcnBxA__thumb/img/abUsJSeUi7E96tfsa988YYwJ870=/fit-in/200x150/filters:strip_icc()/pic144559.jpg
3113,Empire: Triumphs and Humilations for Power,boardgame,1979,2,4,180,180,12,https://cf.geekdo-images.com/H5Eez4UNmBTETUv-wUJjaA__thumb/img/IizF4t8hycwu0FM_PIvMP-gCEVQ=/fit-in/200x150/filters:strip_icc()/pic496676.jpg
3114,Poleconomy,boardgame,1977,2,6,180,180,12,https://cf.geekdo-images.com/4auwiuL4q6P0Mcc5Gr79fg__thumb/img/6q6-h_DlI64j7Zd5tfxv02Gwelg=/fit-in/200x150/filters:strip_icc()/pic452081.jpg
3117,Peasantry,boardgame,2001,3,4,30,30,12,https://cf.geekdo-images.com/EW9fvhCfKqpbW2TCRQxTEQ__thumb/img/T3SMHf16xB5cBSb9lqvrkneLT6Y=/fit-in/200x150/filters:strip_icc()/pic2218009.jpg
3119,Haste Worte?,boardgame,1997,3,8,30,30,8,https://cf.geekdo-images.com/Y9SDhYqq6xsNyy825azoQg__thumb/img/hUQkTaB7zTdT16iiMJy2mO-ZhjY=/fit-in/200x150/filters:strip_icc()/pic3919029.jpg
3120,Demono,boardgame,1985,2,2,45,45,13,https://cf.geekdo-images.com/sN-CuD8jwvTLfXpTxg_abA__thumb/img/a-2EmraMvCNTDtVxxM-o8-tl8ZE=/fit-in/200x150/filters:strip_icc()/pic4343998.jpg
3121,Succession,boardgame,1976,2,6,45,45,8,https://cf.geekdo-images.com/MiA8vC37N93dcHLBr_DRMA__thumb/img/2aG1sofqFPE9MUZSzdF-1SbpyUg=/fit-in/200x150/filters:strip_icc()/pic1010101.jpg
3122,Doctor Who Collectible Card Game,boardgame,1996,2,2,30,30,10,https://cf.geekdo-images.com/_k4XEg3gk5avb3tSfrVqPw__thumb/img/hrEWhp-PgzzUv37ccAOnFD5bAjo=/fit-in/200x150/filters:strip_icc()/pic137211.jpg
3123,Trüffeln Schnüffeln,boardgame,1989,2,4,30,30,7,https://cf.geekdo-images.com/bsavbaX5gZEqmo7mOoFM4A__thumb/img/aNtD0Glef_TSRXCjNW-B8R7CRdQ=/fit-in/200x150/filters:strip_icc()/pic275651.jpg
3125,7th Sea Collectible Card Game,boardgame,1998,2,6,45,45,12,https://cf.geekdo-images.com/ubT5BY34AzQuKJpqj2Ccow__thumb/img/GLm8RgCsudLs7M57HxiDmo6W_IU=/fit-in/200x150/filters:strip_icc()/pic1697074.jpg
3126,Auf + Zu,boardgame,1992,2,4,30,30,8,https://cf.geekdo-images.com/q0fjx0HOPLRTd-L7r4eUcw__thumb/img/cyegLKM4DnU5G1gA9bdQQx1f75U=/fit-in/200x150/filters:strip_icc()/pic29314.jpg
